City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
262,Ambulu,ID,79.14,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
263,Balabac,PH,84.76,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
265,Khetia,IN,80.8,broken clouds,21.6667,74.5833,Mastana Hotel
267,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
269,Atambua,ID,78.26,broken clouds,-9.1061,124.8925,Kost Alfa Flat
270,Malakal,SS,81.28,overcast clouds,9.5334,31.6605,Nile Palace Hotel
274,Hamilton,US,80.55,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
278,Cabedelo,BR,75.87,clear sky,-6.9811,-34.8339,Pousada Camboinha
279,Araouane,ML,86.68,clear sky,18.9048,-3.5265,
283,Sumenep,ID,82.56,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
289,Tanete,ID,78.64,light rain,-3.9443,119.7848,Wisma Tri Multi
296,Mandapam,IN,83.71,overcast clouds,9.2833,79.1167,Tanvi Chachaa Chalet
297,Manadhoo,MV,82.83,overcast clouds,5.7667,73.3833,Bon Abri maldives
298,Hami,CN,86.81,clear sky,42.8,93.45,Laoyutang Resort
306,Gushikawa,JP,84.2,broken clouds,26.3544,127.8686,Kirari Guest House
311,Estelle,US,89.01,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
313,San Andres,CO,82.42,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
315,Tomatlan,MX,84.9,broken clouds,19.9333,-105.25,El Salvial
319,Tabou,CI,77.41,overcast clouds,4.423,-7.3528,hotêl doufoulougou
320,Madang,PG,84.54,clear sky,-5.2246,145.7966,Comfort Inn Hotel
323,Awbari,LY,77.81,broken clouds,26.5921,12.7805,فندق أوباري
327,Fallon,US,82.27,dust,39.4735,-118.7774,Best Western Fallon Inn & Suites
328,Poum,NC,75.72,overcast clouds,-20.2333,164.0167,
332,Mitsamiouli,KM,76.71,clear sky,-11.3847,43.2844,Foyer ADM
333,Santa Rosa,PH,89.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
335,North Myrtle Beach,US,80.69,clear sky,33.816,-78.68,Avista Resort
338,Cangzhou,CN,82.0,scattered clouds,38.3167,116.8667,Jinji Express Hotel
347,Rey Bouba,CM,76.53,overcast clouds,8.6724,14.1786,
351,Da Nang,VN,87.78,clear sky,16.0678,108.2208,Grand Mercure Danang
352,Pangkalanbuun,ID,79.61,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
353,Koregaon,IN,75.11,scattered clouds,18.65,74.0833,hotel nisarg lounge
360,Ruidoso,US,86.86,clear sky,33.3317,-105.673,Inn of the Mountain Gods
364,Puerto Penasco,MX,84.9,clear sky,31.3167,-113.5333,Playa Bonita Resort
367,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
368,Hithadhoo,MV,83.55,light rain,-0.6,73.0833,Scoop Guest House
