City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Georgetown,MY,5.4112,100.3354,82.33,93,20,3.44,few clouds,2022-06-13 00:49:32
60,Isla Mujeres,MX,21.2311,-86.731,84.16,84,6,9.4,clear sky,2022-06-13 00:50:23
61,Dunmore Town,BS,25.5,-76.65,81.82,83,2,11.97,clear sky,2022-06-13 00:50:24
62,Vaini,TO,-21.2,-175.2,82.56,78,40,12.66,scattered clouds,2022-06-13 00:50:24
63,Esperance,AU,-33.8667,121.9,57.04,67,86,31.65,overcast clouds,2022-06-13 00:50:24
64,Vardo,NO,70.3705,31.1107,44.58,65,25,14.97,scattered clouds,2022-06-13 00:50:25
65,Shache,CN,38.4167,77.2406,72.72,34,95,7.09,overcast clouds,2022-06-13 00:50:25
66,Kavaratti,IN,10.5669,72.642,82.24,76,100,13.69,light rain,2022-06-13 00:50:25
67,Khatanga,RU,71.9667,102.5,64.4,37,100,11.97,overcast clouds,2022-06-13 00:50:25
68,Mataura,NZ,-46.1927,168.8643,44.47,94,100,12.84,light rain,2022-06-13 00:50:26
69,Bardiyah,LY,31.7561,25.0865,71.1,88,15,16.04,few clouds,2022-06-13 00:50:26
70,Northam,GB,51.0333,-4.2167,55.62,81,21,11.65,few clouds,2022-06-13 00:50:26
71,Yar-Sale,RU,66.8333,70.8333,41.74,83,100,22.79,moderate rain,2022-06-13 00:50:27
72,North Bend,US,43.4065,-124.2243,57.07,87,100,13.8,overcast clouds,2022-06-13 00:50:27
73,Rivadavia,AR,-33.1905,-68.4608,49.82,49,44,2.57,scattered clouds,2022-06-13 00:47:15
74,Emerald,AU,-23.5333,148.1667,57.34,58,0,16.02,clear sky,2022-06-13 00:50:27
75,Lagoa,PT,39.05,-27.9833,61.95,82,49,24.45,scattered clouds,2022-06-13 00:50:27
76,Bluff,NZ,-46.6,168.3333,44.8,75,100,30.24,light rain,2022-06-13 00:50:28
77,Sitka,US,57.0531,-135.33,51.69,82,100,5.75,light rain,2022-06-13 00:50:28
78,Kundian,PK,32.4587,71.4775,88.0,34,73,5.73,broken clouds,2022-06-13 00:50:28
79,Chokurdakh,RU,70.6333,147.9167,64.08,21,11,12.26,few clouds,2022-06-13 00:50:29
80,Te Anau,NZ,-45.4167,167.7167,38.59,98,100,2.21,overcast clouds,2022-06-13 00:50:29
81,Ati,TD,13.2154,18.3353,81.75,61,100,19.91,overcast clouds,2022-06-13 00:50:29
82,Tymovskoye,RU,50.8456,142.655,65.77,53,92,6.08,overcast clouds,2022-06-13 00:50:30
83,Labuhan,ID,-6.8844,112.2051,80.42,80,100,6.06,overcast clouds,2022-06-13 00:50:30
84,Bilibino,RU,68.0546,166.4372,64.94,31,17,3.89,few clouds,2022-06-13 00:50:30
85,Chapais,CA,49.7834,-74.8492,56.98,98,100,7.05,overcast clouds,2022-06-13 00:50:30
86,Celestun,MX,20.8667,-90.4,82.65,73,79,16.78,broken clouds,2022-06-13 00:50:31
87,Lebu,CL,-37.6167,-73.65,47.93,91,100,9.4,overcast clouds,2022-06-13 00:46:53
88,Nikolskoye,RU,59.7035,30.7861,53.49,92,82,4.09,broken clouds,2022-06-13 00:50:31
89,Alice Springs,AU,-23.7,133.8833,53.15,66,0,5.75,clear sky,2022-06-13 00:50:31
90,Podgornoye,RU,51.735,39.1496,62.82,94,75,6.71,broken clouds,2022-06-13 00:50:32
91,Qaanaaq,GL,77.484,-69.3632,26.74,75,1,7.83,clear sky,2022-06-13 00:50:32
92,Albany,US,42.6001,-73.9662,68.41,81,100,1.01,overcast clouds,2022-06-13 00:45:55
93,Ribeira Grande,PT,38.5167,-28.7,62.73,77,36,23.0,scattered clouds,2022-06-13 00:50:32
94,Beinamar,TD,8.6698,15.3813,76.75,71,100,1.19,overcast clouds,2022-06-13 00:50:33
95,Puerto Madryn,AR,-42.7692,-65.0385,60.12,24,100,15.43,overcast clouds,2022-06-13 00:50:33
96,Provideniya,RU,64.3833,-173.3,40.69,64,99,3.29,overcast clouds,2022-06-13 00:50:33
97,Faanui,PF,-16.4833,-151.75,79.48,76,55,21.92,light rain,2022-06-13 00:50:34
98,Brasilia,BR,-15.7797,-47.9297,67.12,73,20,8.05,few clouds,2022-06-13 00:47:32
99,Plettenberg Bay,ZA,-34.0527,23.3716,64.81,54,100,0.76,overcast clouds,2022-06-13 00:50:34
100,Guerrero Negro,MX,27.9769,-114.0611,69.8,70,11,17.45,few clouds,2022-06-13 00:50:34
101,Saint Anthony,US,45.0205,-93.218,78.04,72,0,13.8,clear sky,2022-06-13 00:50:34
102,Vanavara,RU,60.34,102.2797,62.73,56,100,4.41,overcast clouds,2022-06-13 00:50:35
103,Tura,IN,25.5198,90.2201,74.48,98,99,6.73,moderate rain,2022-06-13 00:50:35
104,Tuatapere,NZ,-46.1333,167.6833,46.24,80,100,20.42,light rain,2022-06-13 00:50:35
105,Upernavik,GL,72.7868,-56.1549,28.96,75,50,5.84,scattered clouds,2022-06-13 00:50:36
106,Iqaluit,CA,63.7506,-68.5145,40.73,65,100,17.27,overcast clouds,2022-06-13 00:50:36
107,Veinticinco De Mayo,AR,-35.4323,-60.1727,52.99,61,15,1.01,few clouds,2022-06-13 00:50:36
108,Manono,CD,-7.3,27.4167,72.64,48,94,2.77,overcast clouds,2022-06-13 00:50:37
109,Seminole,US,28.7086,-81.2081,87.21,78,40,5.75,scattered clouds,2022-06-13 00:50:37
110,Chunskiy,RU,56.0815,99.6342,69.64,69,53,3.8,broken clouds,2022-06-13 00:50:37
111,Butaritari,KI,3.0707,172.7902,82.63,66,0,14.88,clear sky,2022-06-13 00:50:38
112,Ulaangom,MN,49.9811,92.0667,77.38,30,39,4.0,scattered clouds,2022-06-13 00:50:38
113,Victoria,HK,22.2855,114.1577,85.32,83,100,13.0,overcast clouds,2022-06-13 00:50:38
114,Pacific Grove,US,36.6177,-121.9166,71.71,86,100,9.22,overcast clouds,2022-06-13 00:48:27
115,Chippewa Falls,US,44.9369,-91.3929,77.18,66,0,9.22,clear sky,2022-06-13 00:48:05
116,Ossora,RU,59.2353,163.0719,45.16,82,100,1.03,overcast clouds,2022-06-13 00:50:39
117,Jalingo,NG,8.8833,11.3667,74.84,91,100,3.22,overcast clouds,2022-06-13 00:50:39
118,Salalah,OM,17.0151,54.0924,81.72,85,13,3.15,few clouds,2022-06-13 00:50:39
119,Suwalki,PL,54.1118,22.9309,54.28,90,100,3.8,overcast clouds,2022-06-13 00:50:40
120,Thompson,CA,55.7435,-97.8558,71.76,40,75,9.22,broken clouds,2022-06-13 00:50:40
